恒大精装四房 中间楼层 通透四房 采光视野好中楼层(共43层)|2015年建|4室2厅|159.33平米|南北,恒大首府,520万,https://wh.ke.com/ershoufang/19091610510100150724.html,单价32636.7元/平米,满两年|VR房源
司门口居家两房 满五唯一居家装修 随时看房中楼层(共6层)2室1厅|81平米|南,三道街60号,138万,https://wh.ke.com/ershoufang/20010710510100133078.html,单价17037元/平米,满五年|VR房源
此房两证多年 后期税费少 地铁就在旁边 交通方便低楼层(共7层)|2002年建|3室2厅|146.72平米|南北,尚隆地球村,290万,https://wh.ke.com/ershoufang/19110210510100145463.html,单价19765.5元/平米,近地铁|满五年|VR房源
积玉桥地铁口小三房两证满五后期税少 随时可看中楼层(共6层)|1998年建|3室1厅|73平米|南北,电业小区,146万,https://wh.ke.com/ershoufang/19110710510100172042.html,单价20000元/平米,近地铁|满五年|VR房源|随时看房
万达公馆，2栋，观江阳台，居家保养好，诚心出售低楼层(共43层)|2012年建|3室1厅|329.57平米|南北,武汉积玉桥万达广场二期,1280万,https://wh.ke.com/ershoufang/19021410510100111964.html,单价38838.5元/平米,近地铁|满两年|VR房源
此房源业主诚心出售 交通便利 配套齐全高楼层(共8层)|2000年建|3室1厅|86.8平米|南,桂花公寓,148万,https://wh.ke.com/ershoufang/19051510510100180793.html,单价17050.7元/平米,近地铁|满两年|VR房源|随时看房
绿地二期 户型方正 楼层适中 毛坯好房 两证两年低楼层(共36层)|2016年建|4室2厅|213.62平米|南,绿地国际金融城二期,620万,https://wh.ke.com/ershoufang/19080410510100105714.html,单价29023.5元/平米,近地铁|VR房源
中间楼层 每个房间看长江 房本满两年 欧式风格装修低楼层(共43层)|2012年建|3室2厅|285.13平米|西南,武汉积玉桥万达广场二期,800万,https://wh.ke.com/ershoufang/19040910510100124499.html,单价28057.4元/平米,近地铁|VR房源
省心选房就看凤凰城 刚需的户型 精选的物业 舒适安心中楼层(共33层)|2007年建|3室2厅|143.08平米|南北,华润置地凤凰城,415万,https://wh.ke.com/ershoufang/18090910510100158683.html,单价29004.8元/平米,满五年|VR房源|随时看房
融侨华府 南北通透 精装修带地暖 业主诚心出售低楼层(共26层)|2009年建|3室2厅|124.28平米|南北,融侨华府,325万,https://wh.ke.com/ershoufang/19110210510100131875.html,单价26150.6元/平米,近地铁|VR房源|随时看房
融侨华府 2室2厅证满2年 精装修拎包入住低楼层(共24层)|2009年建|2室2厅|88.92平米|南,融侨华府,233万,https://wh.ke.com/ershoufang/19112110510100240348.html,单价26203.3元/平米,近地铁|满两年|VR房源
螃蟹岬地铁口，通透三房，大楼台，满两年大三房高楼层(共8层)|2000年建|3室2厅|120平米|南,凤凰世纪家园,260万,https://wh.ke.com/ershoufang/19110210510100108779.html,单价21666.7元/平米,近地铁|满五年|VR房源
临江大宅江南明珠园一线江景精装两房动静分离诚心售高楼层(共18层)|2004年建|3室2厅|142.66平米|西南,江南明珠园,370万,https://wh.ke.com/ershoufang/19060110510100150144.html,单价25935.8元/平米,近地铁|满两年|VR房源
积玉桥地铁口 金地国际花园精装一室一厅，小区环境好低楼层(共27层)|2012年建|1室1厅|51.71平米|西,金地国际花园,140万,https://wh.ke.com/ershoufang/19091810510100147297.html,单价27074.1元/平米,近地铁|满两年|VR房源
杏林苑 2室1厅 南 北高楼层(共7层)2室1厅|60.24平米|南北,杏林苑,115万,https://wh.ke.com/ershoufang/20010710510100158074.html,单价19090.3元/平米,近地铁|满五年|VR房源
万达公馆，精装通透3房，江景视野一级棒！高楼层(共42层)|2012年建|3室2厅|283.63平米|南北,武汉积玉桥万达广场二期,900万,https://wh.ke.com/ershoufang/19112010510100114479.html,单价31731.5元/平米,近地铁|满两年|VR房源
2号线地铁口  精装修复式楼  一线江景房高楼层(共31层)|2009年建|2室2厅|77.21平米|南北,金地国际花园,280万,https://wh.ke.com/ershoufang/19110710510100105571.html,单价36264.7元/平米,近地铁|VR房源
蓝湾精装复式 证满五年 拎包入住 近地铁 武昌江滩低楼层(共18层)|2002年建|3室2厅|178.48平米|南,蓝湾俊园,420万,https://wh.ke.com/ershoufang/19051810510100115921.html,单价23532元/平米,近地铁|VR房源
电业小区 2室1厅 南中楼层(共5层)|1998年建|2室1厅|54.22平米|南,电业小区,108万,https://wh.ke.com/ershoufang/20010810510100139137.html,单价19918.8元/平米,近地铁|满五年|VR房源|随时看房
恒大精装一房   业主诚心出售低楼层(共38层)|2013年建|1室1厅|40.06平米|南,恒大首府,118万,https://wh.ke.com/ershoufang/19092510510100201898.html,单价29455.8元/平米,VR房源|随时看房
